Id;Segment;Country;Product;DiscountBand;UnitsSold;ManufacturingPrice;SalePrice;GrossSales;Discounts;Sales;COGS;Profit;Date;MonthNumber;MonthName;Year
130;Government;Mexico;Velo;Low;544.0;120.0;20.0;10880.0;217.6;10662.4;5440.0;5222.4;2013-12-01;12.0;December;2013.0
131;Channel Partners;Mexico;Velo;Low;1084.0;120.0;12.0;13008.0;260.16;12747.84;3252.0;9495.84;2014-12-01;12.0;December;2014.0
132;Enterprise;Mexico;VTT;Low;662.0;250.0;125.0;82750.0;1655.0;81095.0;79440.0;1655.0;2014-06-01;6.0;June;2014.0
133;Small Business;Germany;VTT;Low;214.0;250.0;300.0;64200.0;1284.0;62916.0;53500.0;9416.0;2013-10-01;10.0;October;2013.0
134;Government;Germany;VTT;Low;2877.0;250.0;350.0;1006950.0;20139.0;986811.0;748020.0;238791.0;2014-10-01;10.0;October;2014.0
135;Enterprise;Canada;VTT;Low;2729.0;250.0;125.0;341125.0;6822.5;334302.5;327480.0;6822.5;2014-12-01;12.0;December;2014.0
136;Government;United States of America;VTT;Low;266.0;250.0;350.0;93100.0;1862.0;91238.0;69160.0;22078.0;2013-12-01;12.0;December;2013.0
137;Government;Mexico;VTT;Low;1940.0;250.0;350.0;679000.0;13580.0;665420.0;504400.0;161020.0;2013-12-01;12.0;December;2013.0
138;Small Business;Germany;Amarilla;Low;259.0;260.0;300.0;77700.0;1554.0;76146.0;64750.0;11396.0;2014-03-01;3.0;March;2014.0
139;Small Business;Mexico;Amarilla;Low;1101.0;260.0;300.0;330300.0;6606.0;323694.0;275250.0;48444.0;2014-03-01;3.0;March;2014.0
140;Enterprise;Germany;Amarilla;Low;2276.0;260.0;125.0;284500.0;5690.0;278810.0;273120.0;5690.0;2014-05-01;5.0;May;2014.0
141;Government;Germany;Amarilla;Low;2966.0;260.0;350.0;1038100.0;20762.0;1017338.0;771160.0;246178.0;2013-10-01;10.0;October;2013.0
142;Government;United States of America;Amarilla;Low;1236.0;260.0;20.0;24720.0;494.4;24225.6;12360.0;11865.6;2014-11-01;11.0;November;2014.0
143;Government;France;Amarilla;Low;941.0;260.0;20.0;18820.0;376.4;18443.6;9410.0;9033.6;2014-11-01;11.0;November;2014.0
144;Small Business;Canada;Amarilla;Low;1916.0;260.0;300.0;574800.0;11496.0;563304.0;479000.0;84304.0;2014-12-01;12.0;December;2014.0
145;Enterprise;France;Carretera;Low;4243.5;3.0;125.0;530437.5;15913.125;514524.375;509220.0;5304.375;2014-04-01;4.0;April;2014.0
146;Government;Germany;Carretera;Low;2580.0;3.0;20.0;51600.0;1548.0;50052.0;25800.0;24252.0;2014-04-01;4.0;April;2014.0
147;Small Business;Germany;Carretera;Low;689.0;3.0;300.0;206700.0;6201.0;200499.0;172250.0;28249.0;2014-06-01;6.0;June;2014.0
148;Channel Partners;United States of America;Carretera;Low;1947.0;3.0;12.0;23364.0;700.92;22663.08;5841.0;16822.08;2014-09-01;9.0;September;2014.0
149;Channel Partners;Canada;Carretera;Low;908.0;3.0;12.0;10896.0;326.88;10569.12;2724.0;7845.120000000001;2013-12-01;12.0;December;2013.0
150;Government;Germany;Montana;Low;1958.0;5.0;7.0;13706.0;411.18;13294.82;9790.0;3504.82;2014-02-01;2.0;February;2014.0
151;Channel Partners;France;Montana;Low;1901.0;5.0;12.0;22812.0;684.36;22127.64;5703.0;16424.64;2014-06-01;6.0;June;2014.0
152;Government;France;Montana;Low;544.0;5.0;7.0;3808.0;114.24;3693.76;2720.0;973.7600000000003;2014-09-01;9.0;September;2014.0
153;Government;Germany;Montana;Low;1797.0;5.0;350.0;628950.0;18868.5;610081.5;467220.0;142861.5;2013-09-01;9.0;September;2013.0
154;Enterprise;France;Montana;Low;1287.0;5.0;125.0;160875.0;4826.25;156048.75;154440.0;1608.75;2014-12-01;12.0;December;2014.0
155;Enterprise;Germany;Montana;Low;1706.0;5.0;125.0;213250.0;6397.5;206852.5;204720.0;2132.5;2014-12-01;12.0;December;2014.0
156;Small Business;France;Paseo;Low;2434.5;10.0;300.0;730350.0;21910.5;708439.5;608625.0;99814.5;2014-01-01;1.0;January;2014.0
157;Enterprise;Canada;Paseo;Low;1774.0;10.0;125.0;221750.0;6652.5;215097.5;212880.0;2217.5;2014-03-01;3.0;March;2014.0
158;Channel Partners;France;Paseo;Low;1901.0;10.0;12.0;22812.0;684.36;22127.64;5703.0;16424.64;2014-06-01;6.0;June;2014.0
159;Small Business;Germany;Paseo;Low;689.0;10.0;300.0;206700.0;6201.0;200499.0;172250.0;28249.0;2014-06-01;6.0;June;2014.0
160;Enterprise;Germany;Paseo;Low;1570.0;10.0;125.0;196250.0;5887.5;190362.5;188400.0;1962.5;2014-06-01;6.0;June;2014.0
161;Channel Partners;United States of America;Paseo;Low;1369.5;10.0;12.0;16434.0;493.02;15940.98;4108.5;11832.48;2014-07-01;7.0;July;2014.0
162;Enterprise;Canada;Paseo;Low;2009.0;10.0;125.0;251125.0;7533.75;243591.25;241080.0;2511.25;2014-10-01;10.0;October;2014.0
163;Midmarket;Germany;Paseo;Low;1945.0;10.0;15.0;29175.0;875.25;28299.75;19450.0;8849.75;2013-10-01;10.0;October;2013.0
164;Enterprise;France;Paseo;Low;1287.0;10.0;125.0;160875.0;4826.25;156048.75;154440.0;1608.75;2014-12-01;12.0;December;2014.0
165;Enterprise;Germany;Paseo;Low;1706.0;10.0;125.0;213250.0;6397.5;206852.5;204720.0;2132.5;2014-12-01;12.0;December;2014.0
166;Enterprise;Canada;Velo;Low;2009.0;120.0;125.0;251125.0;7533.75;243591.25;241080.0;2511.25;2014-10-01;10.0;October;2014.0
167;Small Business;United States of America;VTT;Low;2844.0;250.0;300.0;853200.0;25596.0;827604.0;711000.0;116604.0;2014-02-01;2.0;February;2014.0
168;Channel Partners;Mexico;VTT;Low;1916.0;250.0;12.0;22992.0;689.76;22302.24;5748.0;16554.24;2014-04-01;4.0;April;2014.0
169;Enterprise;Germany;VTT;Low;1570.0;250.0;125.0;196250.0;5887.5;190362.5;188400.0;1962.5;2014-06-01;6.0;June;2014.0
170;Small Business;Canada;VTT;Low;1874.0;250.0;300.0;562200.0;16866.0;545334.0;468500.0;76834.0;2014-08-01;8.0;August;2014.0
171;Government;Mexico;VTT;Low;1642.0;250.0;350.0;574700.0;17241.0;557459.0;426920.0;130539.0;2014-08-01;8.0;August;2014.0
172;Midmarket;Germany;VTT;Low;1945.0;250.0;15.0;29175.0;875.25;28299.75;19450.0;8849.75;2013-10-01;10.0;October;2013.0
173;Government;Canada;Carretera;Low;831.0;3.0;20.0;16620.0;498.6;16121.4;8310.0;7811.4;2014-05-01;5.0;May;2014.0
174;Government;Mexico;Paseo;Low;1760.0;10.0;7.0;12320.0;369.6;11950.4;8800.0;3150.4;2013-09-01;9.0;September;2013.0
175;Government;Canada;Velo;Low;3850.5;120.0;20.0;77010.0;2310.3;74699.70000000001;38505.0;36194.7;2014-04-01;4.0;April;2014.0
176;Channel Partners;Germany;VTT;Low;2479.0;250.0;12.0;29748.0;892.44;28855.56;7437.0;21418.56;2014-01-01;1.0;January;2014.0
177;Midmarket;Mexico;Montana;Low;2031.0;5.0;15.0;30465.0;1218.6;29246.4;20310.0;8936.400000000001;2014-10-01;10.0;October;2014.0
178;Midmarket;Mexico;Paseo;Low;2031.0;10.0;15.0;30465.0;1218.6;29246.4;20310.0;8936.400000000001;2014-10-01;10.0;October;2014.0
179;Midmarket;France;Paseo;Low;2261.0;10.0;15.0;33915.0;1356.6;32558.4;22610.0;9948.4;2013-12-01;12.0;December;2013.0
180;Government;United States of America;Velo;Low;736.0;120.0;20.0;14720.0;588.8;14131.2;7360.0;6771.200000000003;2013-09-01;9.0;September;2013.0
181;Government;Canada;Carretera;Low;2851.0;3.0;7.0;19957.0;798.28;19158.72;14255.0;4903.720000000001;2013-10-01;10.0;October;2013.0
182;Small Business;Germany;Carretera;Low;2021.0;3.0;300.0;606300.0;24252.0;582048.0;505250.0;76798.0;2014-10-01;10.0;October;2014.0
183;Government;United States of America;Carretera;Low;274.0;3.0;350.0;95900.0;3836.0;92064.0;71240.0;20824.0;2014-12-01;12.0;December;2014.0
184;Midmarket;Canada;Montana;Low;1967.0;5.0;15.0;29505.0;1180.2;28324.8;19670.0;8654.8;2014-03-01;3.0;March;2014.0
185;Small Business;Germany;Montana;Low;1859.0;5.0;300.0;557700.0;22308.0;535392.0;464750.0;70642.0;2014-08-01;8.0;August;2014.0
186;Government;Canada;Montana;Low;2851.0;5.0;7.0;19957.0;798.28;19158.72;14255.0;4903.720000000001;2013-10-01;10.0;October;2013.0
187;Small Business;Germany;Montana;Low;2021.0;5.0;300.0;606300.0;24252.0;582048.0;505250.0;76798.0;2014-10-01;10.0;October;2014.0
